,LYLTY_CARD_NBR,LIFESTAGE,PREMIUM_CUSTOMER
0,1000,YOUNG SINGLES/COUPLES,Premium
1,1002,YOUNG SINGLES/COUPLES,Mainstream
2,1003,YOUNG FAMILIES,Budget
3,1004,OLDER SINGLES/COUPLES,Mainstream
4,1005,MIDAGE SINGLES/COUPLES,Mainstream
5,1007,YOUNG SINGLES/COUPLES,Budget
6,1009,NEW FAMILIES,Premium
7,1010,YOUNG SINGLES/COUPLES,Mainstream
8,1011,OLDER SINGLES/COUPLES,Mainstream
9,1012,OLDER FAMILIES,Mainstream
10,1013,RETIREES,Budget
11,1016,OLDER FAMILIES,Mainstream
12,1018,YOUNG SINGLES/COUPLES,Mainstream
13,1019,OLDER SINGLES/COUPLES,Premium
14,1020,YOUNG SINGLES/COUPLES,Mainstream
15,1022,OLDER FAMILIES,Budget
16,1023,MIDAGE SINGLES/COUPLES,Premium
17,1024,YOUNG SINGLES/COUPLES,Premium
18,1025,YOUNG FAMILIES,Budget
19,1026,MIDAGE SINGLES/COUPLES,Premium
20,1027,OLDER FAMILIES,Premium
21,1028,YOUNG SINGLES/COUPLES,Budget
22,1030,RETIREES,Mainstream
23,1034,RETIREES,Premium
24,1038,OLDER FAMILIES,Mainstream
25,1039,YOUNG FAMILIES,Mainstream
26,1042,YOUNG SINGLES/COUPLES,Premium
27,1043,YOUNG FAMILIES,Budget
28,1044,YOUNG FAMILIES,Mainstream
29,1046,YOUNG SINGLES/COUPLES,Budget
30,1048,OLDER FAMILIES,Mainstream
31,1050,YOUNG FAMILIES,Budget
32,1051,YOUNG SINGLES/COUPLES,Budget
33,1052,MIDAGE SINGLES/COUPLES,Budget
34,1053,MIDAGE SINGLES/COUPLES,Mainstream
35,1054,NEW FAMILIES,Mainstream
36,1055,RETIREES,Mainstream
37,1056,MIDAGE SINGLES/COUPLES,Mainstream
38,1057,MIDAGE SINGLES/COUPLES,Mainstream
39,1060,YOUNG SINGLES/COUPLES,Mainstream
40,1061,OLDER SINGLES/COUPLES,Budget
41,1062,YOUNG FAMILIES,Premium
42,1064,YOUNG FAMILIES,Budget
43,1065,MIDAGE SINGLES/COUPLES,Premium
44,1067,OLDER SINGLES/COUPLES,Mainstream
45,1068,YOUNG SINGLES/COUPLES,Premium
46,1071,YOUNG FAMILIES,Mainstream
47,1072,NEW FAMILIES,Premium
48,1074,RETIREES,Budget
49,1076,YOUNG SINGLES/COUPLES,Budget
50,1077,OLDER SINGLES/COUPLES,Premium
51,1080,RETIREES,Budget
52,1081,MIDAGE SINGLES/COUPLES,Budget
53,1086,YOUNG SINGLES/COUPLES,Budget
54,1087,RETIREES,Premium
55,1088,YOUNG SINGLES/COUPLES,Budget
56,1089,RETIREES,Mainstream
57,1090,OLDER FAMILIES,Budget
58,1091,NEW FAMILIES,Budget
59,1093,RETIREES,Premium
60,1094,NEW FAMILIES,Budget
61,1095,RETIREES,Mainstream
62,1096,OLDER SINGLES/COUPLES,Premium
63,1097,RETIREES,Budget
64,1099,OLDER SINGLES/COUPLES,Premium
65,1101,RETIREES,Mainstream
66,1102,OLDER FAMILIES,Budget
67,1103,OLDER FAMILIES,Budget
68,1104,RETIREES,Mainstream
69,1105,RETIREES,Premium
70,1107,OLDER SINGLES/COUPLES,Mainstream
71,1108,RETIREES,Mainstream
72,1109,OLDER SINGLES/COUPLES,Mainstream
73,1111,RETIREES,Premium
74,1113,YOUNG SINGLES/COUPLES,Mainstream
75,1114,OLDER FAMILIES,Premium
76,1115,RETIREES,Premium
77,1116,OLDER SINGLES/COUPLES,Premium
78,1117,OLDER SINGLES/COUPLES,Mainstream
79,1118,RETIREES,Mainstream
80,1120,YOUNG SINGLES/COUPLES,Mainstream
81,1121,OLDER SINGLES/COUPLES,Premium
82,1122,OLDER SINGLES/COUPLES,Budget
83,1123,MIDAGE SINGLES/COUPLES,Mainstream
84,1124,RETIREES,Mainstream
85,1125,OLDER SINGLES/COUPLES,Premium
86,1127,RETIREES,Mainstream
87,1133,YOUNG FAMILIES,Budget
88,1134,RETIREES,Mainstream
89,1136,OLDER FAMILIES,Budget
90,1137,MIDAGE SINGLES/COUPLES,Premium
91,1139,OLDER SINGLES/COUPLES,Premium
92,1140,RETIREES,Mainstream
93,1141,YOUNG SINGLES/COUPLES,Mainstream
94,1142,OLDER FAMILIES,Premium
95,1143,OLDER FAMILIES,Budget
96,1146,YOUNG SINGLES/COUPLES,Premium
97,1147,NEW FAMILIES,Premium
98,1149,YOUNG FAMILIES,Mainstream
99,1150,YOUNG SINGLES/COUPLES,Budget
100,1152,RETIREES,Budget
101,1155,OLDER SINGLES/COUPLES,Budget
102,1156,RETIREES,Premium
103,1158,OLDER SINGLES/COUPLES,Mainstream
104,1159,YOUNG SINGLES/COUPLES,Mainstream
105,1161,YOUNG SINGLES/COUPLES,Mainstream
106,1163,YOUNG SINGLES/COUPLES,Mainstream
107,1164,YOUNG SINGLES/COUPLES,Mainstream
108,1165,YOUNG SINGLES/COUPLES,Budget
109,1168,YOUNG SINGLES/COUPLES,Premium
110,1169,NEW FAMILIES,Budget
111,1170,OLDER FAMILIES,Mainstream
112,1171,RETIREES,Mainstream
113,1172,OLDER FAMILIES,Mainstream
114,1173,RETIREES,Mainstream
115,1174,OLDER SINGLES/COUPLES,Budget
116,1177,YOUNG SINGLES/COUPLES,Mainstream
117,1178,RETIREES,Mainstream
118,1179,YOUNG SINGLES/COUPLES,Mainstream
119,1181,YOUNG SINGLES/COUPLES,Premium
120,1182,YOUNG SINGLES/COUPLES,Budget
121,1183,YOUNG SINGLES/COUPLES,Budget
122,1184,MIDAGE SINGLES/COUPLES,Budget
123,1186,NEW FAMILIES,Budget
124,1187,YOUNG FAMILIES,Budget
125,1188,RETIREES,Mainstream
126,1189,RETIREES,Budget
127,1190,OLDER FAMILIES,Budget
128,1191,YOUNG SINGLES/COUPLES,Mainstream
129,1192,YOUNG SINGLES/COUPLES,Budget
130,1193,YOUNG SINGLES/COUPLES,Mainstream
131,1196,YOUNG FAMILIES,Premium
132,1197,RETIREES,Premium
133,1199,RETIREES,Mainstream
134,1201,OLDER SINGLES/COUPLES,Mainstream
135,1202,YOUNG FAMILIES,Premium
136,1203,OLDER FAMILIES,Mainstream
137,1205,RETIREES,Premium
138,1206,NEW FAMILIES,Mainstream
139,1209,MIDAGE SINGLES/COUPLES,Premium
140,1210,YOUNG SINGLES/COUPLES,Mainstream
141,1211,OLDER SINGLES/COUPLES,Premium
142,1212,NEW FAMILIES,Mainstream
143,1216,OLDER FAMILIES,Mainstream
144,1218,OLDER SINGLES/COUPLES,Budget
145,1219,OLDER SINGLES/COUPLES,Premium
